,Country,Number of Users,Average Rating
4080,Malaysia,1,8.0
4081,Mexico,4,8.25
4082,Netherlands,37,6.77
4083,New Zealand,11,6.96
4084,Norway,15,6.4
4085,Peru,1,7.0
4086,Philippines,1,10.0
4087,Poland,11,7.14
4088,Portugal,5,6.8
4089,Romania,1,7.0
4090,Russia,1,6.0
4091,Republic of Serbia,1,6.0
4092,Slovenia,5,7.2
4093,South Africa,3,9.33
4094,South Korea,12,7.29
4095,Spain,51,6.92
4096,Sweden,35,6.52
4097,Switzerland,7,7.14
4098,Taiwan,1,8.0
4099,Trinidad and Tobago,1,8.0
4100,Ukraine,1,3.0
4101,USA,733,7.21
4102,Venezuela,1,7.0
4103,Argentina,12,8.35
4104,Australia,69,7.74
4105,Austria,5,8.4
4106,Belgium,10,8.38
4107,Brazil,53,8.62
4108,Bulgaria,5,7.9
4109,Canada,192,8.28
4110,Chile,11,8.46
4111,China,10,7.7
4112,Colombia,4,8.44
4113,Croatia,5,8.3
4114,Czech Republic,7,6.86
4115,Denmark,9,8.28
4116,England,9,8.0
4117,Estonia,3,9.03
4118,Finland,11,7.78
4119,France,4,9.0
4120,Germany,46,7.82
4121,Greece,19,8.73
4122,Guatemala,1,9.0
4123,Hungary,4,6.38
4124,Iceland,3,8.33
4125,India,5,8.08
4126,Indonesia,1,6.5
4127,Ireland,11,9.09
4128,Israel,11,7.74
4129,Italy,30,8.06
4130,Japan,5,6.5
4131,Latvia,7,7.89
4132,Lebanon,1,9.0
4133,Lithuania,5,7.6
4134,Luxembourg,2,7.5
4135,Macedonia,2,8.5
4136,Malaysia,2,8.75
4137,Mexico,10,8.53
4138,Netherlands,21,8.31
4139,New Zealand,10,7.0
4140,Norway,11,7.97
4141,Peru,3,8.17
4142,Philippines,9,8.44
4143,Poland,26,8.21
4144,Portugal,12,8.17
4145,Qatar,2,7.7
4146,Romania,5,8.6
4147,Russia,9,7.25
4148,Republic of Serbia,4,8.75
4149,Slovakia,1,9.5
4150,Slovenia,4,8.75
4151,South Africa,3,8.67
4152,South Korea,16,8.39
4153,Spain,58,7.9
4154,Sweden,29,8.17
4155,Switzerland,7,8.07
4156,Taiwan,14,8.32
4157,Thailand,5,8.0
4158,Turkey,1,8.5
4159,Ukraine,2,8.0
4160,USA,1133,8.17
4161,Uruguay,1,9.0
4162,Venezuela,2,10.0
4163,Vietnam,3,6.75
4164,Argentina,11,7.41
4165,Australia,66,7.74
4166,Austria,18,6.94
4167,Belarus,1,7.0
4168,Belgium,36,7.35
4169,Brazil,41,7.47
4170,Brunei,1,8.0
4171,Bulgaria,2,8.0
4172,Canada,230,7.47
4173,Chile,6,7.23
4174,China,17,7.52
4175,Colombia,2,7.5
4176,Costa Rica,1,8.0
4177,Croatia,4,7.25
4178,Czech Republic,14,6.39
4179,Denmark,19,7.15
4180,England,11,7.86
4181,Estonia,4,7.25
4182,Finland,36,7.31
4183,France,27,7.53
4184,Germany,135,7.56
4185,Greece,37,7.88
4186,Guatemala,1,9.0
4187,Hungary,14,7.72
4188,Iceland,1,7.0
4189,India,4,8.25
4190,Indonesia,3,6.6
4191,Iran,1,10.0
4192,Ireland,9,7.53
4193,Israel,7,7.21
4194,Italy,43,7.35
4195,Japan,28,7.2
4196,Latvia,5,7.6
4197,Lithuania,5,6.3
4198,Luxembourg,4,7.88
4199,Malaysia,5,7.7
4200,Mexico,8,8.1
4201,Moldova,1,8.0
4202,Netherlands,42,7.45
4203,New Zealand,21,7.55
4204,Norway,20,7.83
4205,Philippines,4,6.25
4206,Poland,68,7.33
4207,Portugal,18,7.51
4208,Qatar,1,7.0
4209,Romania,3,8.5
4210,Russia,18,7.18
4211,Saudi Arabia,1,9.0
4212,Republic of Serbia,7,6.0
4213,Slovenia,7,8.14
4214,South Africa,5,8.6
4215,South Korea,30,7.35
4216,Spain,109,7.39
4217,Sweden,38,7.33
4218,Switzerland,6,7.75
4219,Taiwan,26,7.3
4220,Thailand,4,8.0
4221,Turkey,1,7.0
4222,Uganda,1,6.0
4223,Ukraine,5,8.3
4224,USA,1623,7.59
4225,Uruguay,1,7.0
4226,Venezuela,2,7.0
4227,Vietnam,2,7.25
4228,Albania,1,7.0
4229,Argentina,16,7.69
4230,Australia,84,7.64
4231,Austria,11,7.73
4232,Belarus,2,6.5
4233,Belgium,28,7.69
4234,Brazil,49,7.6
4235,Brunei,1,9.0
4236,Bulgaria,7,7.5
4237,Canada,227,7.73
4238,Chile,14,7.46
4239,China,19,7.88
4240,Colombia,7,7.57
4241,Croatia,5,7.5
4242,Czech Republic,8,7.88
4243,Denmark,14,7.64
4244,England,9,7.54
4245,Estonia,3,7.37
4246,Finland,21,7.94
4247,France,24,7.8
4248,Germany,113,7.89
4249,Greece,29,7.49
4250,Guatemala,2,7.25
4251,Hungary,10,8.0
4252,Iceland,3,7.17
4253,India,7,7.14
4254,Indonesia,1,9.0
4255,Ireland,11,8.05
4256,Israel,10,7.14
4257,Italy,20,7.16
4258,Japan,39,7.48
4259,Latvia,8,8.06
4260,Lithuania,10,6.85
4261,Luxembourg,2,8.5
4262,Macedonia,2,8.5
4263,Malaysia,3,7.5
4264,Mexico,16,8.09
4265,Moldova,3,8.83
4266,Netherlands,34,7.35
4267,New Zealand,19,7.19
4268,Norway,12,6.83
4269,Peru,2,7.5
4270,Philippines,5,7.2
4271,Poland,67,7.56
4272,Portugal,19,7.53
4273,Qatar,2,8.3
4274,Romania,7,7.71
4275,Russia,13,7.77
4276,Saudi Arabia,2,7.0
4277,Republic of Serbia,7,6.86
4278,Slovakia,3,7.47
4279,Slovenia,3,7.67
4280,South Africa,7,7.64
4281,South Korea,23,7.51
4282,Spain,110,7.37
4283,Sweden,33,7.69
4284,Switzerland,13,7.5
4285,Taiwan,22,8.3
4286,Thailand,11,8.36
4287,Turkey,3,7.33
4288,Uganda,1,7.0
4289,Ukraine,6,8.37
4290,USA,1200,7.71
4291,Venezuela,2,7.5
4292,Vietnam,2,7.0
4293,Albania,1,8.0
4294,Argentina,7,7.56
4295,Australia,40,7.43
4296,Austria,8,7.25
4297,Belarus,1,9.0
4298,Belgium,17,6.82
4299,Brazil,9,8.41
4300,Canada,111,7.22
4301,Chile,4,6.1
4302,China,5,7.96
4303,Colombia,3,8.33
4304,Costa Rica,1,10.0
4305,Croatia,3,6.4
4306,Czech Republic,5,6.6
4307,Denmark,4,7.38
4308,England,4,8.05
4309,Finland,3,7.0
4310,France,16,7.62
4311,Germany,98,7.16
4312,Greece,8,7.84
4313,Hungary,2,6.5
4314,Iceland,1,7.0
4315,India,1,8.5
4316,Indonesia,1,8.0
4317,Ireland,4,7.0
4318,Israel,4,7.25
4319,Italy,14,7.29
4320,Japan,20,6.59
4321,Latvia,4,8.38
4322,Lithuania,1,9.0
4323,Luxembourg,1,8.0
4324,Malaysia,2,7.5
4325,Mexico,6,7.92
4326,Netherlands,31,7.48
4327,New Zealand,4,7.0
4328,Norway,3,5.33
4329,Peru,1,7.0
4330,Philippines,4,8.13
4331,Poland,16,7.31
4332,Qatar,1,7.4
4333,Romania,1,8.8
4334,Russia,10,7.23
4335,Saudi Arabia,1,8.0
4336,Republic of Serbia,1,8.0
4337,Slovakia,1,8.0
4338,Slovenia,1,9.0
4339,South Africa,4,6.75
4340,South Korea,14,7.54
4341,Spain,53,7.05
4342,Sweden,17,7.26
4343,Switzerland,6,7.75
4344,Taiwan,6,8.19
4345,Thailand,5,7.6
4346,Turkey,2,7.5
4347,Uganda,1,6.0
4348,Ukraine,4,7.5
4349,USA,608,7.09
4350,Uruguay,1,7.5
4351,Venezuela,2,7.5
4352,Vietnam,1,7.0
4353,Argentina,11,8.05
4354,Australia,46,7.51
4355,Austria,8,7.88
4356,Belarus,1,6.0
4357,Belgium,32,8.08
4358,Bolivia,1,9.0
4359,Brazil,40,7.9
4360,Bulgaria,2,8.5
4361,Canada,189,7.69
4362,Chile,13,6.96
4363,China,13,8.85
4364,Colombia,4,8.88
4365,Costa Rica,1,9.0
4366,Croatia,4,8.75
4367,Czech Republic,11,6.59
4368,Denmark,13,6.54
4369,England,7,7.14
4370,Estonia,3,7.0
4371,Finland,31,7.7
4372,France,17,7.94
4373,Germany,82,7.74
4374,Greece,26,8.0
4375,Hungary,3,6.67
4376,Iceland,1,7.0
4377,Indonesia,3,9.67
4378,Ireland,6,7.5
4379,Israel,4,8.75
4380,Italy,53,8.11
4381,Japan,13,6.85
4382,Latvia,6,7.17
4383,Lebanon,1,10.0
4384,Lithuania,4,7.25
4385,Luxembourg,2,8.5
4386,Macedonia,2,8.0
4387,Malaysia,2,8.75
4388,Mexico,7,8.29
4389,Moldova,1,8.0
4390,Netherlands,25,7.45
4391,New Zealand,9,5.71
4392,Norway,14,8.25
4393,Peru,2,8.5
4394,Philippines,2,9.5
4395,Poland,48,7.84
4396,Portugal,20,7.91
4397,Qatar,2,8.5
4398,Romania,8,8.5
4399,Russia,16,7.75
4400,Republic of Serbia,4,7.63
4401,Slovenia,3,8.33
4402,South Africa,5,7.0
4403,South Korea,13,7.65
4404,Spain,112,7.71
4405,Sweden,37,7.12
4406,Switzerland,7,8.86
4407,Taiwan,12,8.63
4408,Thailand,5,9.0
4409,Turkey,1,9.0
4410,Uganda,1,9.5
4411,Ukraine,2,4.45
4412,USA,1144,7.73
4413,Uruguay,1,8.5
4414,Venezuela,2,9.5
4415,Argentina,4,5.88
4416,Australia,44,7.85
4417,Austria,3,8.33
4418,Belarus,2,7.5
4419,Belgium,31,8.05
4420,Brazil,23,8.35
4421,Brunei,1,8.0
4422,Bulgaria,2,8.5
4423,Canada,172,7.85
4424,Chile,1,7.0
4425,China,9,7.74
4426,Colombia,1,8.5
4427,Croatia,5,9.4
4428,Czech Republic,10,7.4
4429,Denmark,15,8.61
4430,England,8,8.0
4431,Estonia,2,8.7
4432,Finland,24,7.56
4433,France,13,7.36
4434,Germany,54,7.55
4435,Greece,14,8.2
4436,Hungary,6,7.75
4437,Iceland,2,9.0
4438,India,4,7.88
4439,Indonesia,3,8.67
4440,Ireland,6,8.83
4441,Israel,4,8.75
4442,Italy,39,7.76
4443,Japan,8,5.88
4444,Latvia,3,8.33
4445,Lithuania,7,8.71
4446,Luxembourg,2,7.75
4447,Malaysia,8,7.68
4448,Mexico,1,8.0
4449,Netherlands,27,8.14
4450,New Zealand,12,7.54
4451,Norway,19,8.17
4452,Peru,1,8.0
4453,Philippines,3,6.67
4454,Poland,26,7.82
4455,Portugal,13,7.63
4456,Qatar,2,8.6
4457,Romania,7,9.0
4458,Russia,13,7.69
4459,Saudi Arabia,1,8.0
4460,Republic of Serbia,3,8.67
4461,Slovenia,3,9.0
4462,South Africa,10,7.85
4463,South Korea,10,6.95
4464,Spain,66,8.12
4465,Sweden,28,7.53
4466,Switzerland,7,8.07
4467,Taiwan,13,8.65
4468,Thailand,4,6.93
4469,Turkey,2,8.5
4470,Ukraine,4,8.5
4471,USA,988,7.81
4472,Argentina,4,6.63
4473,Australia,38,7.43
4474,Austria,10,7.6
4475,Belgium,14,8.04
4476,Brazil,38,8.06
4477,Canada,109,7.64
4478,Chile,1,6.8
4479,China,26,7.64
4480,Colombia,2,9.0
4481,Czech Republic,3,6.5
4482,Denmark,4,7.25
4483,Ecuador,1,8.0
4484,England,5,7.25
4485,Estonia,5,7.9
4486,Finland,44,7.58
4487,France,20,7.81
4488,Germany,75,7.44
4489,Greece,22,7.71
4490,Hungary,7,7.43
4491,India,2,7.75
4492,Indonesia,3,7.0
4493,Ireland,4,6.95
4494,Israel,5,8.4
4495,Italy,33,7.46
4496,Japan,40,8.02
4497,Latvia,2,7.25
4498,Lithuania,2,6.0
4499,Luxembourg,2,6.25
4500,Malaysia,5,7.2
4501,Mexico,6,8.33
4502,Moldova,1,7.0
4503,Netherlands,18,7.64
4504,New Zealand,10,7.85
4505,Norway,15,7.9
4506,Philippines,4,8.5
4507,Poland,30,7.46
4508,Portugal,11,7.97
4509,Qatar,1,7.8
4510,Russia,1,7.0
4511,Saudi Arabia,1,9.0
4512,Republic of Serbia,1,7.5
4513,Slovakia,1,7.0
4514,Slovenia,2,8.25
4515,South Africa,1,7.0
4516,South Korea,30,8.33
4517,Spain,57,7.56
4518,Sweden,18,7.36
4519,Switzerland,6,7.42
4520,Taiwan,31,7.92
4521,Thailand,4,8.0
4522,Ukraine,1,4.0
4523,USA,729,7.61
4524,Venezuela,1,9.0
4525,Albania,1,1.0
4526,Argentina,6,4.33
4527,Australia,76,4.53
4528,Austria,10,4.0
4529,Belgium,30,5.29
4530,Brazil,43,4.92
4531,Bulgaria,5,6.2
4532,Canada,218,4.94
4533,Chile,6,5.67
4534,China,9,5.78
4535,Colombia,3,5.0
4536,Costa Rica,1,6.0
4537,Croatia,7,4.71
4538,Czech Republic,4,4.88
4539,Denmark,17,4.5
4540,England,8,5.44
4541,Estonia,8,5.56
4542,Finland,40,4.65
4543,France,15,3.79
4544,Germany,107,4.59
4545,Greece,27,6.06
4546,Guatemala,1,1.0
4547,Honduras,1,7.0
4548,Hungary,11,5.18
4549,Indonesia,2,5.5
4550,Ireland,7,3.43
4551,Israel,7,3.57
4552,Italy,55,6.0
4553,Japan,15,5.47
4554,Latvia,3,5.67
4555,Lithuania,6,4.33
4556,Luxembourg,1,1.0
4557,Macedonia,2,6.5
4558,Malaysia,5,3.5
4559,Mexico,11,5.62
4560,Netherlands,59,5.51
4561,New Zealand,16,4.56
4562,Norway,17,4.47
4563,Peru,2,4.0
4564,Philippines,6,5.33
4565,Poland,41,4.52
4566,Portugal,21,5.58
4567,Qatar,2,4.3
4568,Romania,10,6.3
4569,Russia,9,5.14
4570,Saudi Arabia,1,7.0
4571,Republic of Serbia,4,4.25
4572,Slovenia,3,5.33
4573,South Africa,6,5.0
4574,South Korea,14,5.76
4575,Spain,66,5.14
4576,Sri Lanka,1,5.0
4577,Sweden,49,4.54
4578,Switzerland,4,4.75
4579,Taiwan,5,6.9
4580,Thailand,2,6.5
4581,Turkey,2,6.5
4582,Ukraine,2,6.0
4583,USA,1302,5.02
4584,Venezuela,1,8.0
4585,Vietnam,1,3.0
4586,Argentina,1,8.0
4587,Australia,31,7.43
4588,Austria,6,7.67
4589,Belgium,25,7.52
4590,Brazil,21,7.86
4591,Bulgaria,2,8.0
4592,Canada,90,7.4
4593,Chile,3,7.5
4594,China,22,7.63
4595,Colombia,1,7.5
4596,Croatia,1,7.0
4597,Czech Republic,4,7.25
4598,Denmark,6,6.5
4599,England,7,7.29
4600,Estonia,6,6.25
4601,Finland,15,7.23
4602,France,25,7.46
4603,Germany,56,7.04
4604,Greece,23,7.23
4605,Hungary,5,7.0
4606,India,1,7.0
4607,Indonesia,4,7.63
4608,Ireland,3,7.83
4609,Israel,6,7.42
4610,Italy,20,7.68
4611,Japan,9,6.67
4612,Latvia,5,6.04
4613,Lithuania,4,5.0
4614,Luxembourg,2,7.85
4615,Malaysia,4,6.75
4616,Mexico,2,9.0
4617,Moldova,1,10.0
4618,Netherlands,15,6.93
4619,New Zealand,6,7.5
4620,Norway,11,7.23
4621,Philippines,1,4.0
4622,Poland,26,7.34
4623,Portugal,11,7.07
4624,Qatar,1,5.2
4625,Romania,8,8.13
4626,Russia,11,7.09
4627,Saudi Arabia,1,7.0
4628,Republic of Serbia,1,8.0
4629,Slovenia,1,8.5
4630,South Korea,8,6.63
4631,Spain,64,7.69
4632,Sweden,14,7.05
4633,Switzerland,4,8.13
4634,Taiwan,15,7.73
4635,Thailand,7,6.64
4636,Turkey,2,8.0
4637,Ukraine,1,8.0
4638,USA,489,7.29
4639,Argentina,14,7.25
4640,Australia,70,6.33
4641,Austria,11,5.82
4642,Belarus,4,6.38
4643,Belgium,25,6.88
4644,Bolivia,1,7.0
4645,Brazil,69,7.52
4646,Bulgaria,4,6.0
4647,Canada,254,6.69
4648,Chile,10,7.33
4649,China,10,6.5
4650,Colombia,1,7.5
4651,Costa Rica,1,8.0
4652,Croatia,3,6.67
4653,Czech Republic,3,7.67
4654,Denmark,13,6.96
4655,England,8,7.0
4656,Estonia,3,6.33
4657,Finland,28,5.5
4658,France,20,6.14
4659,Germany,133,6.95
4660,Greece,46,6.89
4661,Hungary,13,6.27
4662,Indonesia,3,7.0
4663,Ireland,8,7.38
4664,Israel,16,5.96
4665,Italy,51,6.29
4666,Japan,4,4.0
4667,Latvia,3,5.67
4668,Lithuania,2,6.5
4669,Malaysia,3,7.3
4670,Mexico,11,8.0
4671,Netherlands,42,6.32
4672,New Zealand,8,6.31
4673,Norway,11,5.68
4674,Paraguay,1,6.0
4675,Peru,1,8.0
4676,Philippines,4,6.5
4677,Poland,60,6.95
4678,Portugal,8,7.63
4679,Qatar,2,6.0
4680,Romania,4,8.63
4681,Russia,22,6.73
4682,Republic of Serbia,3,7.17
4683,Slovakia,2,8.0
4684,Slovenia,1,6.0
4685,South Africa,3,7.33
4686,South Korea,3,5.0
4687,Spain,131,6.1
4688,Sweden,47,5.95
4689,Switzerland,7,7.86
4690,Taiwan,7,6.61
4691,Thailand,2,7.75
4692,Turkey,3,8.17
4693,Ukraine,10,7.2
4694,USA,1411,6.48
4695,Uruguay,1,9.0
4696,Argentina,6,8.33
4697,Australia,30,7.51
4698,Austria,7,7.14
4699,Belgium,18,7.68
4700,Brazil,20,7.68
4701,Bulgaria,8,6.81
4702,Canada,84,7.87
4703,Chile,4,8.25
4704,China,7,6.99
4705,Colombia,3,8.33
4706,Croatia,5,7.6
4707,Czech Republic,4,7.25
4708,Denmark,5,8.8
4709,England,5,6.6
4710,Finland,8,7.59
4711,France,18,7.78
4712,Germany,67,7.57
4713,Greece,24,8.06
4714,Hungary,2,5.5
4715,India,2,7.5
4716,Indonesia,1,9.0
4717,Ireland,3,8.33
4718,Israel,3,7.2
4719,Italy,7,7.21
4720,Japan,14,6.86
4721,Latvia,2,8.5
4722,Lithuania,4,6.75
4723,Luxembourg,2,8.25
4724,Macedonia,2,8.0
4725,Malaysia,2,6.0
4726,Mexico,9,8.17
4727,Moldova,1,7.0
4728,Netherlands,10,7.72
4729,New Zealand,3,8.0
4730,Norway,6,7.0
4731,Peru,1,9.0
4732,Philippines,3,6.67
4733,Poland,3,8.0
4734,Portugal,16,7.59
4735,Qatar,1,5.4
4736,Romania,9,8.46
4737,Russia,2,5.5
4738,Republic of Serbia,4,6.5
4739,Slovenia,2,9.0
4740,South Korea,4,7.6
4741,Spain,68,7.59
4742,Sweden,14,7.03
4743,Switzerland,6,6.67
4744,Taiwan,5,7.4
4745,Thailand,4,6.75
4746,Ukraine,1,8.9
4747,USA,462,7.53
4748,Venezuela,2,7.5
4749,Vietnam,1,8.25
4750,Argentina,4,5.75
4751,Australia,57,7.32
4752,Austria,6,6.83
4753,Belarus,1,3.0
4754,Belgium,14,6.91
4755,Brazil,18,7.27
4756,Brunei,1,9.0
4757,Canada,129,7.27
4758,Chile,5,6.78
4759,China,4,6.75
4760,Colombia,2,7.0
4761,Czech Republic,3,6.0
4762,Denmark,7,6.29
4763,England,7,6.79
4764,Estonia,2,7.0
4765,Finland,16,7.25
4766,France,18,6.97
4767,Germany,53,7.39
4768,Greece,16,6.72
4769,Guatemala,1,8.0
4770,Hungary,7,6.71
4771,Iceland,1,7.5
4772,India,3,6.67
4773,Indonesia,1,8.0
4774,Ireland,4,7.13
4775,Israel,3,7.33
4776,Italy,18,7.52
4777,Japan,29,6.87
4778,Latvia,4,7.25
4779,Lithuania,5,8.6
4780,Luxembourg,1,8.0
4781,Malaysia,5,7.36
4782,Mexico,3,5.67
4783,Netherlands,17,7.15
4784,New Zealand,16,7.27
4785,Norway,10,7.5
4786,Philippines,4,7.0
4787,Poland,16,7.61
4788,Portugal,8,7.43
4789,Romania,2,6.5
4790,Russia,6,7.75
4791,Saudi Arabia,1,7.0
4792,Republic of Serbia,6,8.33
4793,Slovenia,1,7.0
4794,South Africa,3,7.0
4795,South Korea,15,7.19
4796,Spain,59,7.14
4797,Sweden,20,7.85
4798,Switzerland,5,6.9
4799,Taiwan,9,7.72
4800,Thailand,9,7.94
4801,Ukraine,1,10.0
4802,USA,687,7.36
4803,Vietnam,1,7.0
4804,Argentina,1,9.0
4805,Australia,25,7.54
4806,Austria,7,7.71
4807,Belarus,1,7.0
4808,Belgium,20,8.09
4809,Brazil,23,7.88
4810,Brunei,1,8.0
4811,Canada,65,7.6
4812,Chile,2,8.75
4813,China,12,8.0
4814,Colombia,1,8.0
4815,Czech Republic,10,7.95
4816,Denmark,2,9.0
4817,England,5,7.3
4818,Estonia,2,9.0
4819,Finland,16,8.38
4820,France,17,7.64
4821,Germany,90,7.82
4822,Greece,20,7.99
4823,Hungary,6,7.5
4824,Iceland,1,8.0
4825,Ireland,3,6.5
4826,Israel,7,8.29
4827,Italy,36,7.59
4828,Japan,18,6.89
4829,Latvia,2,7.25
4830,Lithuania,1,7.0
4831,Luxembourg,1,9.0
4832,Malaysia,1,9.5
4833,Mexico,1,7.2
4834,Moldova,1,7.0
4835,Netherlands,13,7.74
4836,New Zealand,8,7.71
4837,Norway,9,7.47
4838,Peru,1,8.5
4839,Philippines,1,4.0
4840,Poland,22,7.61
4841,Portugal,7,6.84
4842,Qatar,1,7.0
4843,Romania,3,9.0
4844,Russia,4,7.76
4845,Slovakia,1,9.0
4846,South Africa,2,7.0
4847,South Korea,17,8.11
4848,Spain,48,8.03
4849,Sweden,14,7.46
4850,Switzerland,4,7.25
4851,Taiwan,19,8.13
4852,Thailand,5,7.42
4853,Ukraine,1,5.0
4854,USA,436,7.61
4855,Venezuela,2,10.0
4856,Albania,1,5.0
4857,Argentina,26,7.99
4858,Australia,138,7.95
4859,Austria,20,7.55
4860,Belarus,3,8.17
4861,Belgium,59,8.0
4862,Bolivia,1,10.0
4863,Brazil,101,8.28
4864,Bulgaria,12,7.42
4865,Canada,505,8.18
4866,Chile,21,8.54
4867,China,29,7.54
4868,Colombia,9,8.56
4869,Costa Rica,4,8.25
4870,Croatia,10,8.23
4871,Czech Republic,21,7.5
4872,Denmark,29,7.68
4873,England,18,7.86
4874,Estonia,10,8.8
4875,Finland,41,7.95
4876,France,39,7.82
4877,Germany,214,8.19
4878,Greece,54,7.8
4879,Guatemala,1,9.0
4880,Honduras,1,8.6
4881,Hungary,25,8.18
4882,Iceland,4,7.75
4883,India,3,9.0
4884,Indonesia,11,8.82
4885,Iraq,1,9.0
4886,Ireland,15,7.67
4887,Israel,20,8.28
4888,Italy,61,7.96
4889,Japan,51,7.71
4890,Latvia,6,7.42
4891,Lithuania,19,7.74
4892,Luxembourg,5,8.2
4893,Macedonia,2,7.5
4894,Malaysia,13,7.72
4895,Mexico,29,8.03
4896,Moldova,2,9.5
4897,Mongolia,1,8.0
4898,Netherlands,58,8.03
4899,New Zealand,33,7.38
4900,Norway,23,8.17
4901,Peru,6,7.75
4902,Philippines,12,7.83
4903,Poland,108,7.76
4904,Portugal,28,7.84
4905,Qatar,2,8.0
4906,Romania,21,8.44
4907,Russia,15,7.53
4908,Saudi Arabia,1,7.0
4909,Republic of Serbia,8,8.38
4910,Slovakia,5,7.6
4911,Slovenia,7,8.36
4912,South Africa,9,7.72
4913,South Korea,33,7.72
4914,Spain,182,7.8
4915,Sri Lanka,1,9.0
4916,Sweden,68,7.66
4917,Switzerland,22,8.07
4918,Taiwan,33,8.04
4919,Thailand,15,7.01
4920,Turkey,2,8.5
4921,Uganda,1,8.0
4922,Ukraine,10,8.53
4923,USA,2731,8.06
4924,Uruguay,3,8.43
4925,Vietnam,2,7.0
4926,Argentina,5,9.38
4927,Australia,37,9.12
4928,Austria,4,9.25
4929,Belarus,2,9.0
4930,Belgium,10,7.54
4931,Bolivia,1,1.0
4932,Brazil,29,9.17
4933,Bulgaria,2,7.5
4934,Canada,112,9.08
4935,Chile,3,8.67
4936,China,6,9.08
4937,Colombia,5,9.1
4938,Croatia,1,10.0
4939,Czech Republic,4,9.0
4940,Denmark,10,8.44
4941,Ecuador,1,9.0
4942,England,5,8.0
4943,Estonia,2,9.5
4944,Finland,9,8.88
4945,France,6,9.67
4946,Germany,82,8.92
4947,Greece,9,8.69
4948,Hungary,7,9.29
4949,India,1,10.0
4950,Indonesia,2,8.7
4951,Ireland,4,7.25
4952,Israel,4,8.25
4953,Italy,24,8.23
4954,Japan,11,6.68
4955,Latvia,3,8.33
4956,Lithuania,7,7.43
4957,Luxembourg,2,9.0
4958,Malaysia,2,7.3
4959,Mexico,7,7.9
4960,Moldova,1,10.0
4961,Netherlands,14,8.79
4962,New Zealand,7,8.79
4963,Norway,8,9.05
4964,Philippines,3,7.0
4965,Poland,25,8.8
4966,Portugal,7,9.0
4967,Qatar,1,9.2
4968,Romania,4,9.95
4969,Russia,7,8.71
4970,Republic of Serbia,1,9.0
4971,Slovakia,2,9.5
4972,Slovenia,1,10.0
4973,South Africa,3,9.33
4974,South Korea,6,9.65
4975,Spain,67,9.02
4976,Sweden,14,7.71
4977,Switzerland,6,8.25
4978,Taiwan,7,9.29
4979,Thailand,1,10.0
4980,Turkey,1,9.5
4981,Ukraine,2,10.0
4982,USA,670,8.84
4983,Venezuela,1,10.0
4984,Argentina,14,8.63
4985,Australia,47,8.04
4986,Austria,7,8.14
4987,Belarus,1,7.0
4988,Belgium,16,8.02
4989,Brazil,30,8.46
4990,Bulgaria,5,7.3
4991,Canada,134,7.78
4992,Chile,12,8.1
4993,China,15,8.29
4994,Colombia,1,10.0
4995,Croatia,3,9.0
4996,Czech Republic,8,8.5
4997,Denmark,13,8.08
4998,Ecuador,1,7.0
4999,England,11,8.18
5000,Estonia,3,7.37
5001,Finland,11,7.87
5002,France,19,8.14
5003,Germany,84,7.67
5004,Greece,26,8.06
5005,Hungary,11,7.68
5006,Iceland,2,8.25
5007,India,4,8.0
5008,Indonesia,2,8.5
5009,Ireland,7,8.5
5010,Israel,10,8.5
5011,Italy,37,8.09
5012,Japan,27,7.42
5013,Latvia,2,8.88
5014,Lithuania,8,7.88
5015,Luxembourg,1,8.0
5016,Malaysia,1,9.0
5017,Mexico,11,8.34
5018,Moldova,1,10.0
5019,Netherlands,31,7.72
5020,New Zealand,7,7.29
5021,Norway,11,7.83
5022,Peru,2,8.5
5023,Philippines,5,8.2
5024,Poland,57,8.03
5025,Portugal,11,8.02
5026,Romania,9,7.84
5027,Russia,12,7.83
5028,Saudi Arabia,2,6.5
5029,Republic of Serbia,5,8.26
5030,Slovakia,4,8.75
5031,Slovenia,1,7.0
5032,South Africa,4,7.98
5033,South Korea,18,7.94
5034,Spain,119,8.04
5035,Sweden,24,7.65
5036,Switzerland,5,6.7
5037,Taiwan,13,8.08
5038,Thailand,7,7.71
5039,Turkey,1,9.0
5040,Uganda,1,8.0
5041,Ukraine,6,8.47
5042,USA,569,7.92
5043,Uruguay,1,9.0
5044,Venezuela,1,9.0
5045,Vietnam,3,8.17
5046,Australia,29,7.26
5047,Austria,6,7.5
5048,Belgium,14,6.96
5049,Brazil,10,7.6
5050,Bulgaria,2,7.65
5051,Canada,93,7.08
5052,Chile,1,6.0
5053,China,3,6.17
5054,Croatia,2,8.75
5055,Czech Republic,3,6.67
5056,Denmark,7,7.36
5057,England,7,6.79
5058,Finland,26,7.16
5059,France,14,6.23
5060,Germany,49,6.84
5061,Greece,19,7.65
5062,Hungary,4,6.63
5063,India,1,6.0
5064,Ireland,2,7.63
5065,Israel,2,6.25
5066,Italy,18,7.75
5067,Japan,1,4.0
5068,Lithuania,1,7.0
5069,Malaysia,3,8.23
5070,Mexico,1,8.0
5071,Netherlands,13,6.81
5072,New Zealand,12,6.93
5073,Norway,5,7.2
5074,Philippines,1,8.0
5075,Poland,13,6.59
5076,Portugal,4,5.63
5077,Romania,1,9.0
5078,Russia,1,8.0
5079,Slovakia,1,7.0
5080,South Africa,4,6.0
5081,South Korea,6,6.67
5082,Spain,23,7.22
